Timestamp;Media_RSSI_Uplink_dBm;Media_RSSI_Downlink_dBm
01/10/2025 19:57:19;-93.52;-89.40
01/10/2025 19:57:29;-90.02;-83.68
01/10/2025 19:57:39;-85.68;-79.94
01/10/2025 19:57:49;-74.54;-81.24
01/10/2025 19:57:59;-70.36;-77.24
01/10/2025 19:58:09;-60.36;-73.20
01/10/2025 23:00:41;-56.82;-90.86
01/10/2025 23:00:51;-56.82;-90.86
01/10/2025 23:01:01;-56.82;-90.86
01/10/2025 23:01:11;-56.82;-90.86
01/10/2025 23:01:21;-56.82;-90.86
01/10/2025 23:01:31;-56.82;-90.86
01/10/2025 23:01:41;-56.82;-90.86
01/10/2025 23:01:51;-56.82;-90.86
01/10/2025 23:02:01;-56.82;-90.86
01/10/2025 23:02:11;-56.82;-90.86
01/10/2025 23:02:21;-56.82;-90.86
01/10/2025 23:03:39;-66.36;-86.92
01/10/2025 23:03:49;-61.50;-91.96
01/10/2025 23:03:59;-75.74;-87.12
01/10/2025 23:04:09;-66.76;-86.20
01/10/2025 23:04:19;-61.52;-91.68
01/10/2025 23:04:29;-56.60;-87.34
01/10/2025 23:04:39;-55.82;-85.00
06/10/2025 20:43:05;-63.82;-87.62
06/10/2025 20:43:15;-73.72;-84.60
06/10/2025 20:43:25;-84.92;-91.20
06/10/2025 20:43:35;-90.78;-90.38
06/10/2025 20:43:45;-73.84;-81.66
06/10/2025 20:43:55;-74.66;-83.14
06/10/2025 20:44:05;-74.48;-84.02
06/10/2025 20:44:15;-62.24;-81.36
06/10/2025 20:44:25;-78.00;-78.78
06/10/2025 20:44:35;-84.04;-77.80
06/10/2025 20:44:45;-75.80;-81.72
06/10/2025 20:44:55;-60.60;-90.30
06/10/2025 20:45:05;-69.04;-90.90
06/10/2025 20:45:15;-62.80;-68.66
06/10/2025 20:45:25;-65.16;-88.92
06/10/2025 20:45:35;-90.20;-80.04
06/10/2025 20:45:45;-94.04;-85.92
06/10/2025 20:45:55;-105.66;-79.62
06/10/2025 20:46:05;-95.64;-82.18
06/10/2025 20:46:15;-80.44;-85.78
06/10/2025 20:46:25;-63.56;-75.30
06/10/2025 20:46:35;-81.32;-81.20
06/10/2025 20:46:45;-81.06;-96.12
06/10/2025 20:46:55;-77.84;-108.30
06/10/2025 20:47:05;-80.06;-97.08
06/10/2025 20:47:15;-79.86;-92.02
06/10/2025 20:47:25;-74.00;-80.22
06/10/2025 20:47:35;-70.48;-81.28
06/10/2025 20:47:45;-85.10;-86.42
06/10/2025 20:47:55;-82.36;-92.62
06/10/2025 20:48:05;-73.92;-84.18
06/10/2025 20:48:15;-59.64;-78.82
